ax,ay,az,gx,gy,gz,mx,my,mx
-0.172383,0.402226,9.60075,0.00744957,0.0138349,0.0138349,-3559.48,29.666,39.9656
-0.0909797,0.383072,9.62469,0.00532112,0.00957802,0.0138349,7.10156,27.5215,39.2766
-0.047884,0.440533,9.55765,0.00638535,0.0148991,0.0127707,7.10156,27.5215,39.2766
-0.100556,0.354342,9.54808,0.00638535,0.0159634,0.00851379,7.10156,27.5215,39.2766
-0.0574608,0.47884,9.59117,0.00319267,0.0117065,0.00638535,7.10156,27.5215,39.2766
-0.105345,0.402226,9.53371,0.00638535,0.0117065,0.0106422,7.10156,27.5215,39.2766
-0.0622492,0.402226,9.48583,0.00744957,0.0148991,0.0106422,7.10156,27.5215,39.2766
-0.105345,0.411803,9.50977,0.00638535,0.0148991,0.00851379,7.10156,27.5215,39.2766
-0.0430956,0.392649,9.55765,0.00638535,0.0106422,0.00957802,7.10156,27.5215,39.2766
-0.167594,0.440533,9.45231,0.00532112,0.0148991,0.00744957,7.10156,27.5215,39.2766
-0.0526724,0.411803,9.44752,0.00744957,0.0170276,0.0042569,7.10156,27.5215,39.2766
-0.196325,0.316035,9.50019,0.0106422,0.0117065,0.00638535,7.10156,27.5215,39.2766
-0.143652,0.339977,9.48104,0.00532112,0.0127707,0.00638535,7.10156,27.5215,39.2766
-0.110133,0.383072,9.5385,0.00532112,0.0138349,0.00744957,7.10156,27.5215,39.2766
-0.0814029,0.397437,9.52413,0.00744957,0.0148991,0.0117065,7.10156,27.5215,39.2766
-0.124498,0.397437,9.5816,0.00319267,0.0117065,0.00957802,7.10156,27.5215,39.2766
-0.11971,0.354342,9.54329,0.0042569,0.0106422,0.00957802,7.10156,27.5215,39.2766
-0.11971,0.387861,9.50498,0.00744957,0.0127707,0.0106422,7.10156,27.5215,39.2766
-0.0622492,0.445322,9.40442,0.00957802,0.0148991,0.0117065,7.10156,27.5215,39.2766
-0.0287304,0.397437,9.47625,0.00851379,0.0117065,0.00744957,7.10156,27.5215,39.2766
-0.0861913,0.368707,9.59117,0.00744957,0.0138349,0.00744957,7.10156,27.5215,39.2766
-0.0861913,0.402226,9.46667,0.0042569,0.0170276,0.00957802,7.10156,27.5215,39.2766
-0.100556,0.440533,9.65342,0.0042569,0.0170276,0.0138349,7.10156,27.5215,39.2766
-0.0574608,0.383072,9.44752,0.00957802,0.0148991,0.0117065,7.10156,27.5215,39.2766
-0.0430956,0.349553,9.54808,0.00638535,0.0159634,0.0127707,7.10156,27.5215,39.2766
-0.153229,0.407014,9.4571,0.00851379,0.0138349,0.0127707,7.10156,27.5215,39.2766
-0.100556,0.373495,9.56244,0.0117065,0.0127707,0.0106422,7.10156,27.5215,39.2766
-0.114922,0.426168,9.4571,0.00532112,0.0148991,0.00851379,7.10156,27.5215,39.2766
-0.167594,0.426168,9.64384,0.00319267,0.0148991,0.0106422,7.10156,27.5215,39.2766
-0.11971,0.440533,9.52892,0.00744957,0.0148991,0.0138349,7.10156,27.5215,39.2766
-0.0526724,0.387861,9.49062,0.00957802,0.0117065,0.00638535,7.10156,27.5215,39.2766
-0.0909797,0.325611,9.46667,0.0042569,0.0106422,0.00319267,7.10156,27.5215,39.2766
0,0.316035,9.55765,0.00851379,0.0138349,0.00851379,7.10156,27.5215,39.2766
-0.114922,0.316035,9.62469,0.00744957,0.0127707,0.0117065,7.10156,27.5215,39.2766
-0.0622492,0.445322,9.43794,0.00532112,0.0148991,0.0117065,7.10156,27.5215,39.2766
-0.124498,0.440533,9.50019,0.00851379,0.00851379,0.00851379,7.10156,27.5215,39.2766
-0.11971,0.416591,9.54808,0.00851379,0.00957802,0.0106422,7.10156,27.5215,39.2766
-0.124498,0.363919,9.4571,0.00744957,0.0117065,0.0106422,7.10156,27.5215,39.2766
-0.0670376,0.3304,9.414,0.00851379,0.0138349,0.00957802,7.10156,27.5215,39.2766
-0.114922,0.483629,9.55287,0.00744957,0.0127707,0.00638535,7.10156,27.5215,39.2766
-0.167594,0.325611,9.5385,0.00851379,0.0148991,0.00744957,7.10156,27.5215,39.2766
-0.134075,0.397437,9.51456,0.0106422,0.0138349,0.00744957,7.10156,27.5215,39.2766
-0.201113,0.430956,9.46188,0.00744957,0.0127707,0.00957802,7.10156,27.5215,39.2766
-0.0766145,0.430956,9.47625,0.00851379,0.0148991,0.0106422,7.10156,27.5215,39.2766
-0.105345,0.426168,9.53371,0.00851379,0.0127707,0.00638535,7.10156,27.5215,39.2766
-0.100556,0.407014,9.61511,0.00744957,0.00957802,0.0117065,7.10156,27.5215,39.2766
-0.138864,0.383072,9.52892,0.00532112,0.0117065,0.0127707,7.10156,27.5215,39.2766
