ax,ay,az,gx,gy,gz,mx,my,mx
3.62961,-1.61369,9.90721,-1.51758,0.786462,0.872664,-3559.48,75.416,31.1801
3.64398,-1.65679,9.97903,-1.51333,0.806682,0.8716,-0.177539,22.6963,28.4238
3.63919,-1.64242,9.90242,-1.50907,0.824774,0.863086,-0.177539,22.6963,28.4238
3.68707,-1.64242,9.83059,-1.50268,0.840737,0.853508,-0.177539,22.6963,28.4238
3.50511,-1.73819,9.75398,-1.49417,0.853508,0.850315,-0.177539,22.6963,28.4238
3.61046,-1.71425,9.82102,-1.49204,0.874792,0.841801,-0.177539,22.6963,28.4238
3.48117,-1.78129,9.69652,-1.48991,0.889691,0.834352,-0.177539,22.6963,28.4238
3.41413,-1.83875,9.52892,-1.48779,0.908848,0.829031,-0.177539,22.6963,28.4238
3.51469,-1.86269,9.52413,-1.47608,0.929068,0.821581,-0.177539,22.6963,28.4238
3.45244,-1.88184,9.55287,-1.47076,0.948224,0.812003,-0.177539,22.6963,28.4238
3.42371,-1.8579,9.44273,-1.4665,0.964187,0.810939,-0.177539,22.6963,28.4238
3.46202,-1.8579,9.48104,-1.46118,0.978022,0.801361,-0.177539,22.6963,28.4238
3.5099,-1.95846,9.34217,-1.45373,0.997178,0.798168,-0.177539,22.6963,28.4238
3.28484,-2.03507,9.39006,-1.45373,1.01314,0.791783,-0.177539,22.6963,28.4238
3.32794,-2.03507,9.23204,-1.44735,1.03123,0.786462,-0.177539,22.6963,28.4238
3.2609,-2.01592,9.26556,-1.44415,1.05039,0.783269,-0.177539,22.6963,28.4238
3.23696,-2.07817,9.09797,-1.43883,1.06742,0.779012,-0.177539,22.6963,28.4238
3.16035,-2.07817,9.05966,-1.43138,1.07912,0.782205,-0.177539,22.6963,28.4238
3.25611,-2.01592,9.10275,-1.42606,1.09402,0.774755,-0.177539,22.6963,28.4238
3.11725,-2.08774,9.08839,-1.42712,1.10999,0.767306,-0.177539,22.6963,28.4238
3.08373,-2.12605,9.03093,-1.41755,1.12595,0.76837,-0.177539,22.6963,28.4238
3.04542,-2.17394,8.9591,-1.41223,1.14298,0.763049,-0.177539,22.6963,28.4238
3.10289,-2.2314,8.83939,-1.4101,1.1632,0.758792,-0.177539,22.6963,28.4238
3.055,-2.24576,8.74362,-1.40371,1.1749,0.761985,-0.177539,22.6963,28.4238
2.90177,-2.20745,8.7963,-1.39733,1.18874,0.759856,-0.177539,22.6963,28.4238
2.96402,-2.30322,8.81545,-1.39413,1.20896,0.754535,-0.177539,22.6963,28.4238
2.9736,-2.26491,8.69095,-1.38668,1.22705,0.754535,-0.177539,22.6963,28.4238
2.91614,-2.3128,8.65743,-1.38243,1.23876,0.749214,-0.177539,22.6963,28.4238
2.92571,-2.4373,8.61434,-1.37604,1.25259,0.747085,-0.177539,22.6963,28.4238
2.86825,-2.36547,8.62391,-1.3654,1.26643,0.74815,-0.177539,22.6963,28.4238
2.80122,-2.43251,8.56167,-1.35901,1.28239,0.749214,-0.177539,22.6963,28.4238
2.84431,-2.53785,8.72447,-1.35689,1.29942,0.751342,-0.177539,22.6963,28.4238
2.806,-2.49955,8.61913,-1.35795,1.31112,0.747085,-0.177539,22.6963,28.4238
2.70066,-2.62405,8.47069,-1.34305,1.32602,0.744957,-0.177539,22.6963,28.4238
2.70545,-2.59531,8.37013,-1.32815,1.34412,0.741764,-0.177539,22.6963,28.4238
2.71502,-2.62405,8.36055,-1.32177,1.35901,0.741764,-0.177539,22.6963,28.4238
2.7246,-2.65278,8.4228,-1.31538,1.37285,0.737507,-0.177539,22.6963,28.4238
2.70545,-2.70066,8.43717,-1.31006,1.38881,0.738572,-0.177539,22.6963,28.4238
2.55222,-2.79164,8.4228,-1.30048,1.40903,0.737507,-0.177539,22.6963,28.4238
2.61926,-2.81558,8.41801,-1.29197,1.425,0.734315,-0.177539,22.6963,28.4238
2.67193,-2.84431,8.36055,-1.28133,1.44096,0.736443,-0.177539,22.6963,28.4238
2.54264,-2.87783,8.36534,-1.28239,1.45479,0.734315,-0.177539,22.6963,28.4238
2.50433,-2.85389,8.26478,-1.26323,1.47289,0.735379,-0.177539,22.6963,28.4238
2.45166,-2.89698,8.19775,-1.2494,1.48779,0.727929,-0.177539,22.6963,28.4238
2.48997,-2.85868,8.32224,-1.23663,1.49949,0.723673,-0.177539,22.6963,28.4238
2.43251,-3.00712,8.36534,-1.22386,1.52184,0.716223,-0.177539,22.6963,28.4238
2.41814,-2.9305,8.15465,-1.21534,1.53887,0.718351,-0.177539,22.6963,28.4238
2.35589,-2.99754,8.14507,-1.2047,1.5559,0.719416,-0.177539,22.6963,28.4238
2.36547,-3.03585,8.14507,-1.19193,1.57186,0.718351,-0.177539,22.6963,28.4238
2.35111,-2.99754,8.22648,-1.18129,1.58782,0.71303,-0.177539,22.6963,28.4238
2.30322,-3.08852,8.03494,-1.17278,1.60166,0.706645,-0.177539,22.6963,28.4238
2.3128,-3.00233,7.99663,-1.15362,1.61975,0.708773,-0.177539,22.6963,28.4238
2.26491,-3.04542,7.92481,-1.14191,1.63997,0.705581,-0.177539,22.6963,28.4238
2.2697,-3.10289,7.91523,-1.13659,1.65168,0.699195,-0.177539,22.6963,28.4238
2.28886,-3.08852,7.94396,-1.11956,1.67083,0.70026,-0.177539,22.6963,28.4238
