%time,field.data
1461183510481523541,19.2554626465
1461183510993691324,19.2401390076
1461183511547658976,19.3280029297
1461183512041340540,19.0368099213
1461183512564027538,18.9608707428
1461183512921256903,28.5124492645
1461183513258364157,30.1460037231
1461183513583145262,30.1198310852
1461183513919708452,29.4120197296
1461183514283559121,27.80651474
1461183514656312178,26.5036869049
1461183515198343536,25.3628883362
1461183515607747413,25.7591075897
1461183515965099071,26.1192111969
1461183516366385435,26.9286308289
1461183516556153282,27.8456878662
1461183516914804197,28.0770301819
1461183517263790126,28.8445549011
1461183517602917609,29.3887729645
1461183517932963141,29.5789718628
1461183518270715029,29.6111087799
1461183518607125058,30.1121559143
1461183518938381148,30.1699867249
1461183519270820420,30.0274333954
1461183519601937736,29.946844101
1461183519933695636,30.0055236816
1461183520270067182,30.1261062622
1461183520613642227,30.0256061554
1461183520956942587,30.1780185699
1461183521264649454,30.0682258606
1461183521793051145,18.8511352539
1461183522337279500,19.0003910065
1461183522838606449,19.3028907776
1461183523355729611,19.3236026764
1461183523882153817,19.4111366272
1461183524433962674,19.3377590179
1461183524914982712,19.3695602417
1461183525433008992,19.3399353027
1461183525946306039,19.4143791199
1461183526456152298,19.2443141937
1461183526976695378,19.2390174866
1461183527515922259,19.0705051422
1461183528353654836,11.8402051926
1461183528709839865,30.1827526093
1461183529016218002,29.7573890686
1461183529359759523,29.1659984589
1461183529715536958,28.4003772736
1461183530064218938,28.0248584747
1461183530797080149,13.6368732452
1461183531182617863,25.9657936096
1461183531566527996,25.9858379364
1461183531942413016,26.5982284546
1461183532301375702,27.8817825317
1461183532655260578,28.6814918518
1461183532992126950,29.6134719849
1461183533322868729,29.8075084686
1461183533678306875,29.4552516937
1461183534005668127,29.3461685181
1461183534343194568,29.417301178
1461183534684222292,30.1036186218
1461183535013046020,30.0686779022
1461183535359415625,30.0738315582
1461183535678435243,30.4452857971
1461183536202359201,18.9635715485
1461183536718394026,19.1890659332
1461183537256769751,19.1268939972
