%time,field.data
1461184454704642510,29.8532295227
1461184455030858784,30.5087337494
1461184455349076415,31.3591651917
1461184455680697775,31.4834747314
1461184455993946199,31.6282463074
1461184456318807622,30.2948741913
1461184456642905749,29.9116477966
1461184456984307054,30.0428333282
1461184457318671571,30.3119277954
1461184457637645583,30.8254890442
1461184457964329723,29.8130168915
1461184458339359956,27.4128742218
1461184458685431548,28.2503490448
1461184459043542939,28.9401264191
1461184459370894692,29.3011074066
1461184459716969427,29.9799785614
1461184460041915847,30.1909427643
1461184460386816130,30.0815315247
1461184460880860450,19.6916236877
1461184461399231885,19.1383171082
1461184461932780600,19.2094554901
1461184462435604458,19.3593959808
1461184462949961206,19.4122772217
1461184463475525037,19.388299942
1461184463981856114,19.3959655762
1461184464506618376,19.4470100403
